[2024-10-14 14:05:18] ,0, Receive TERM : 00:00:00.136
[2024-10-14 14:05:18] ,0, Receive TERM : 00:00:00.033
[2024-10-14 14:05:18] ,0, Receive TERM : 00:00:00.124
[2024-10-14 14:05:18] ,0, Receive TERM : 00:00:00.111
[2024-10-14 14:05:18] ,0, Receive TERM : 00:00:00.127
[2024-10-14 14:05:18] ,0, Receive TERM : 00:00:00.126
[2024-10-14 14:05:18] ,0, Receive TERM : 00:00:00.134
[2024-10-14 14:05:18] ,0, Receive TERM : 00:00:00.112
[2024-10-14 14:05:19] ,0, Receive TERM : 00:00:00.134
[2024-10-14 14:05:19] ,0, Receive TERM : 00:00:00.111
[2024-10-14 14:05:19] ,0, Receive TERM : 00:00:00.126
[2024-10-14 14:05:19] ,0, Receive TERM : 00:00:00.126
[2024-10-14 14:05:19] ,0, Receive TERM : 00:00:00.111
[2024-10-14 14:05:19] ,0, Receive TERM : 00:00:00.127
[2024-10-14 14:05:19] ,0, Receive TERM : 00:00:00.127
[2024-10-14 14:05:19] ,0, Receive TERM : 00:00:00.127
[2024-10-14 14:05:20] ,0, Receive TERM : 00:00:00.111
[2024-10-14 14:05:20] ,0, Receive TERM : 00:00:00.126
[2024-10-14 14:05:20] ,0, Receive TERM : 00:00:00.127
[2024-10-14 14:05:20] ,0, Receive TERM : 00:00:00.127
[2024-10-14 14:05:20] ,0, Receive TERM : 00:00:00.111
[2024-10-14 14:05:20] ,0, Receive TERM : 00:00:00.125
[2024-10-14 14:05:20] ,0, Receive TERM : 00:00:00.128
[2024-10-14 14:05:20] ,0, Receive TERM : 00:00:00.126
[2024-10-14 14:05:20] ,0, Receive TERM : 00:00:00.109
[2024-10-14 14:05:21] ,0, Receive TERM : 00:00:00.127
[2024-10-14 14:05:21] ,0, Receive TERM : 00:00:00.127
[2024-10-14 14:05:21] ,0, Receive TERM : 00:00:00.128
[2024-10-14 14:05:21] ,0, Receive TERM : 00:00:00.126
[2024-10-14 14:05:21] ,0, Receive TERM : 00:00:00.111
[2024-10-14 14:05:21] ,0, Receive TERM : 00:00:00.128
[2024-10-14 14:05:21] ,0, Receive TERM : 00:00:00.130
[2024-10-14 14:05:21] ,0, Receive TERM : 00:00:00.110
[2024-10-14 14:05:22] ,0, Receive TERM : 00:00:00.127
[2024-10-14 14:05:22] ,0, Receive TERM : 00:00:00.126
[2024-10-14 14:05:22] ,0, Receive TERM : 00:00:00.126
[2024-10-14 14:05:22] ,0, Receive TERM : 00:00:00.111
[2024-10-14 14:05:22] ,0, Receive TERM : 00:00:00.135
[2024-10-14 14:05:22] ,0, Receive TERM : 00:00:00.122
[2024-10-14 14:05:22] ,0, Receive TERM : 00:00:00.122
[2024-10-14 14:05:22] ,0, Receive TERM : 00:00:00.111
[2024-10-14 14:05:23] ,0, Receive TERM : 00:00:00.121
[2024-10-14 14:05:23] ,0, Receive TERM : 00:00:00.127
[2024-10-14 14:05:23] ,0, Receive TERM : 00:00:00.111
[2024-10-14 14:05:23] ,0, Receive TERM : 00:00:00.128
[2024-10-14 14:05:23] ,0, Receive TERM : 00:00:00.127
[2024-10-14 14:05:23] ,0, Receive TERM : 00:00:00.127
[2024-10-14 14:05:23] ,0, Receive TERM : 00:00:00.110
[2024-10-14 14:05:23] ,0, Receive TERM : 00:00:00.128
[2024-10-14 14:05:24] ,0, Receive TERM : 00:00:00.128
[2024-10-14 14:05:24] ,0, Receive TERM : 00:00:00.109
[2024-10-14 14:05:24] ,0, Receive TERM : 00:00:00.127
[2024-10-14 14:05:24] ,0, Receive TERM : 00:00:00.128
[2024-10-14 14:05:24] ,0, Receive TERM : 00:00:00.127
[2024-10-14 14:05:24] ,0, Receive TERM : 00:00:00.111
[2024-10-14 14:05:24] ,0, Receive TERM : 00:00:00.112
[2024-10-14 14:05:24] ,0, Receive TERM : 00:00:00.125
[2024-10-14 14:05:25] ,0, Receive TERM : 00:00:00.124
[2024-10-14 14:05:25] ,0, Receive TERM : 00:00:00.095
[2024-10-14 14:05:25] ,0, Receive TERM : 00:00:00.115
[2024-10-14 14:05:25] ,0, Receive TERM : 00:00:00.094
[2024-10-14 14:05:25] ,0, Receive TERM : 00:00:00.111
[2024-10-14 14:05:25] ,0, Receive TERM : 00:00:00.096
[2024-10-14 14:05:25] ,0, Receive TERM : 00:00:00.094
[2024-10-14 14:05:25] ,0, Receive TERM : 00:00:00.111
[2024-10-14 14:05:25] ,0, Receive TERM : 00:00:00.096
[2024-10-14 14:05:26] ,0, Receive TERM : 00:00:00.111
[2024-10-14 14:05:26] ,0, Receive TERM : 00:00:00.098
[2024-10-14 14:05:26] ,0, Receive TERM : 00:00:00.094
[2024-10-14 14:05:26] ,0, Receive TERM : 00:00:00.095
[2024-10-14 14:05:26] ,0, Receive TERM : 00:00:00.110
[2024-10-14 14:05:26] ,0, Receive TERM : 00:00:00.094
[2024-10-14 14:05:26] ,0, Receive TERM : 00:00:00.110
[2024-10-14 14:05:26] ,0, Receive TERM : 00:00:00.094
[2024-10-14 14:05:26] ,0, Receive TERM : 00:00:00.095
[2024-10-14 14:05:26] ,0, Receive TERM : 00:00:00.110
[2024-10-14 14:05:27] ,0, Receive TERM : 00:00:00.095
[2024-10-14 14:05:27] ,0, Receive TERM : 00:00:00.110
[2024-10-14 14:05:27] ,0, Receive TERM : 00:00:00.104
[2024-10-14 14:05:27] ,0, Receive TERM : 00:00:00.096
[2024-10-14 14:05:27] ,0, Receive TERM : 00:00:00.110
[2024-10-14 14:05:27] ,0, Receive TERM : 00:00:00.111
[2024-10-14 14:05:27] ,0, Receive TERM : 00:00:00.127
[2024-10-14 14:05:27] ,0, Receive TERM : 00:00:00.125
[2024-10-14 14:05:27] ,0, Receive TERM : 00:00:00.126
[2024-10-14 14:05:28] ,0, Receive TERM : 00:00:00.128
[2024-10-14 14:05:28] ,0, Receive TERM : 00:00:00.110
[2024-10-14 14:05:28] ,0, Receive TERM : 00:00:00.125
[2024-10-14 14:05:28] ,0, Receive TERM : 00:00:00.127
[2024-10-14 14:05:28] ,0, Receive TERM : 00:00:00.126
[2024-10-14 14:05:28] ,0, Receive TERM : 00:00:00.110
[2024-10-14 14:05:28] ,0, Receive TERM : 00:00:00.126
[2024-10-14 14:05:28] ,0, Receive TERM : 00:00:00.126
[2024-10-14 14:05:29] ,0, Receive TERM : 00:00:00.112
[2024-10-14 14:05:29] ,0, Receive TERM : 00:00:00.126
[2024-10-14 14:05:29] ,0, Receive TERM : 00:00:00.126
[2024-10-14 14:05:29] ,0, Receive TERM : 00:00:00.127
[2024-10-14 14:05:29] ,0, Receive TERM : 00:00:00.126
[2024-10-14 14:05:29] ,0, Receive TERM : 00:00:00.111
[2024-10-14 14:05:29] ,0, Receive TERM : 00:00:00.126
[2024-10-14 14:05:29] ,0, Receive TERM : 00:00:00.127
[2024-10-14 14:05:30] ,0, Receive TERM : 00:00:00.127
[2024-10-14 14:05:30] ,0, Receive TERM : 00:00:00.111
[2024-10-14 14:05:30] ,0, Receive TERM : 00:00:00.126
[2024-10-14 14:05:30] ,0, Receive TERM : 00:00:00.126
[2024-10-14 14:05:30] ,0, Receive TERM : 00:00:00.127
[2024-10-14 14:05:30] ,0, Receive TERM : 00:00:00.110
[2024-10-14 14:05:30] ,0, Receive TERM : 00:00:00.127
[2024-10-14 14:05:30] ,0, Receive TERM : 00:00:00.126
