[2024-10-14 14:05:18] ,1, Receive TERM : 00:00:00.139
[2024-10-14 14:05:18] ,2, Receive TERM : 00:00:00.166
[2024-10-14 14:05:18] ,3, Receive TERM : 00:00:00.200
[2024-10-14 14:05:18] ,4, Receive TERM : 00:00:00.266
[2024-10-14 14:05:18] ,1, Receive TERM : 00:00:00.418
[2024-10-14 14:05:18] ,2, Receive TERM : 00:00:00.464
[2024-10-14 14:05:18] ,3, Receive TERM : 00:00:00.495
[2024-10-14 14:05:18] ,4, Receive TERM : 00:00:00.495
[2024-10-14 14:05:19] ,1, Receive TERM : 00:00:00.494
[2024-10-14 14:05:19] ,2, Receive TERM : 00:00:00.495
[2024-10-14 14:05:19] ,3, Receive TERM : 00:00:00.495
[2024-10-14 14:05:19] ,4, Receive TERM : 00:00:00.495
[2024-10-14 14:05:19] ,1, Receive TERM : 00:00:00.478
[2024-10-14 14:05:19] ,2, Receive TERM : 00:00:00.494
[2024-10-14 14:05:19] ,3, Receive TERM : 00:00:00.495
[2024-10-14 14:05:19] ,4, Receive TERM : 00:00:00.495
[2024-10-14 14:05:20] ,1, Receive TERM : 00:00:00.495
[2024-10-14 14:05:20] ,2, Receive TERM : 00:00:00.467
[2024-10-14 14:05:20] ,3, Receive TERM : 00:00:00.494
[2024-10-14 14:05:20] ,4, Receive TERM : 00:00:00.496
[2024-10-14 14:05:20] ,1, Receive TERM : 00:00:00.495
[2024-10-14 14:05:20] ,2, Receive TERM : 00:00:00.495
[2024-10-14 14:05:20] ,3, Receive TERM : 00:00:00.495
[2024-10-14 14:05:20] ,4, Receive TERM : 00:00:00.495
[2024-10-14 14:05:21] ,1, Receive TERM : 00:00:00.495
[2024-10-14 14:05:21] ,2, Receive TERM : 00:00:00.496
[2024-10-14 14:05:21] ,3, Receive TERM : 00:00:00.495
[2024-10-14 14:05:21] ,4, Receive TERM : 00:00:00.495
[2024-10-14 14:05:21] ,1, Receive TERM : 00:00:00.495
[2024-10-14 14:05:21] ,2, Receive TERM : 00:00:00.511
[2024-10-14 14:05:21] ,3, Receive TERM : 00:00:00.496
[2024-10-14 14:05:21] ,4, Receive TERM : 00:00:00.496
[2024-10-14 14:05:22] ,1, Receive TERM : 00:00:00.511
[2024-10-14 14:05:22] ,2, Receive TERM : 00:00:00.478
[2024-10-14 14:05:22] ,3, Receive TERM : 00:00:00.494
[2024-10-14 14:05:22] ,4, Receive TERM : 00:00:00.510
[2024-10-14 14:05:22] ,1, Receive TERM : 00:00:00.495
[2024-10-14 14:05:22] ,2, Receive TERM : 00:00:00.511
[2024-10-14 14:05:22] ,3, Receive TERM : 00:00:00.495
[2024-10-14 14:05:22] ,4, Receive TERM : 00:00:00.479
[2024-10-14 14:05:22] ,1, Receive TERM : 00:00:00.483
[2024-10-14 14:05:23] ,2, Receive TERM : 00:00:00.495
[2024-10-14 14:05:23] ,3, Receive TERM : 00:00:00.494
[2024-10-14 14:05:23] ,4, Receive TERM : 00:00:00.495
[2024-10-14 14:05:23] ,1, Receive TERM : 00:00:00.507
[2024-10-14 14:05:23] ,2, Receive TERM : 00:00:00.478
[2024-10-14 14:05:23] ,3, Receive TERM : 00:00:00.495
[2024-10-14 14:05:23] ,4, Receive TERM : 00:00:00.476
[2024-10-14 14:05:23] ,1, Receive TERM : 00:00:00.478
[2024-10-14 14:05:24] ,2, Receive TERM : 00:00:00.494
[2024-10-14 14:05:24] ,3, Receive TERM : 00:00:00.496
[2024-10-14 14:05:24] ,4, Receive TERM : 00:00:00.495
[2024-10-14 14:05:24] ,1, Receive TERM : 00:00:00.495
[2024-10-14 14:05:24] ,2, Receive TERM : 00:00:00.496
[2024-10-14 14:05:24] ,3, Receive TERM : 00:00:00.495
[2024-10-14 14:05:24] ,4, Receive TERM : 00:00:00.494
[2024-10-14 14:05:24] ,1, Receive TERM : 00:00:00.480
[2024-10-14 14:05:25] ,2, Receive TERM : 00:00:00.478
[2024-10-14 14:05:25] ,3, Receive TERM : 00:00:00.478
[2024-10-14 14:05:25] ,4, Receive TERM : 00:00:00.453
[2024-10-14 14:05:25] ,1, Receive TERM : 00:00:00.446
[2024-10-14 14:05:25] ,2, Receive TERM : 00:00:00.431
[2024-10-14 14:05:25] ,3, Receive TERM : 00:00:00.415
[2024-10-14 14:05:25] ,4, Receive TERM : 00:00:00.399
[2024-10-14 14:05:25] ,1, Receive TERM : 00:00:00.400
[2024-10-14 14:05:25] ,2, Receive TERM : 00:00:00.415
[2024-10-14 14:05:25] ,3, Receive TERM : 00:00:00.414
[2024-10-14 14:05:25] ,4, Receive TERM : 00:00:00.416
[2024-10-14 14:05:26] ,1, Receive TERM : 00:00:00.414
[2024-10-14 14:05:26] ,2, Receive TERM : 00:00:00.398
[2024-10-14 14:05:26] ,3, Receive TERM : 00:00:00.382
[2024-10-14 14:05:26] ,4, Receive TERM : 00:00:00.399
[2024-10-14 14:05:26] ,1, Receive TERM : 00:00:00.399
[2024-10-14 14:05:26] ,2, Receive TERM : 00:00:00.414
[2024-10-14 14:05:26] ,3, Receive TERM : 00:00:00.415
[2024-10-14 14:05:26] ,4, Receive TERM : 00:00:00.415
[2024-10-14 14:05:27] ,1, Receive TERM : 00:00:00.415
[2024-10-14 14:05:27] ,2, Receive TERM : 00:00:00.398
[2024-10-14 14:05:27] ,3, Receive TERM : 00:00:00.399
[2024-10-14 14:05:27] ,4, Receive TERM : 00:00:00.415
